pdf_row_id,Bounds,Page,Path,filePaths,attributes.BBox,attributes.NumCol,attributes.NumRow,attributes.Placement,attributes.SpaceAfter,attributes.BackgroundColor,attributes.BlockAlign,attributes.BorderColor,attributes.BorderStyle,attributes.BorderThickness,attributes.ColIndex,attributes.Height,attributes.InlineAlign,attributes.RowIndex,attributes.Width,HasClip,Lang,Text,TextSize,Font.alt_family_name,Font.embedded,Font.encoding,Font.family_name,Font.font_type,Font.italic,Font.monospaced,Font.name,Font.subset,Font.weight,attributes.LineHeight,attributes.TextAlign,attributes.RowSpan
0,"[53.27299499511719, 673.6889953613281, 451.572998046875, 772.8190002441406]",0.0,//Document/Table,['tables/fileoutpart0.xlsx'],"[42.47829999999885, 662.9769999999844, 553.0569999999716, 787.8919999999925]",2.0,2.0,Block,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[54.912994384765625, 756.9190063476562, 80.73300170898438, 772.8190002441406]",0.0,//Document/Table/TR/TH,,"[42.47829999999885, 748.6539999999804, 90.35629999999946, 787.8919999999925]",,,,,"[1, 1, 1]",Middle,"[None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['None', 'Solid', 'None', 'Solid']","[0, 0.375, 0, 0.375]",0.0,39.25,Center,0.0,47.875,,,,,,,,,,,,,,,,,
2,"[54.912994384765625, 756.9190063476562, 80.73300170898438, 772.8190002441406]",0.0,//Document/Table/TR/TH/P,,,,,,,,,,,,,,,,,False,en,Step ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,
3,"[241.23300170898438, 756.9190063476562, 403.89300537109375, 772.8190002441406]",0.0,//Document/Table/TR/TH[2],,"[89.51639999999679, 748.6539999999804, 553.8969999999972, 787.8919999999925]",,,,,"[1, 1, 1]",Middle,"[None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['None', 'Solid', 'Solid', 'Solid']","[0, 0.375, 0.375, 0.875]",1.0,39.25,Center,0.0,464.375,,,,,,,,,,,,,,,,,
4,"[241.23300170898438, 756.9190063476562, 403.89300537109375, 772.8190002441406]",0.0,//Document/Table/TR/TH[2]/P,,,,,,,,,,,,,,,,,False,en,Calculating Compensatory Fees ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,
5,"[53.27299499511719, 697.6889953613281, 61.49299621582031, 714.6390075683594]",0.0,//Document/Table/TR[2]/TD,,"[42.47829999999885, 662.9769999999844, 90.35629999999946, 749.493999999977]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'None', 'Solid']","[0.375, 0, 0, 0.375]",0.0,86.5,Start,1.0,47.875,,,,,,,,,,,,,,,,,
6,"[53.27299499511719, 697.6889953613281, 61.49299621582031, 714.6390075683594]",0.0,//Document/Table/TR[2]/TD/P,,,,,,,,,,,,,,,,,False,en,2 ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
7,"[100.62300109863281, 673.6889953613281, 451.572998046875, 738.6390075683594]",0.0,//Document/Table/TR[2]/TD[2],,"[89.51639999999679, 662.9769999999844, 553.8969999999972, 749.493999999977]",,,,,"[1, 1, 1]",Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'Solid', 'Solid']","[0.375, 0, 0.375, 0.875]",1.0,86.5,Start,1.0,464.375,,,,,,,,,,,,,,,,,
8,"[100.62300109863281, 721.6889953613281, 421.14300537109375, 738.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,The compensatory fee for each mortgage loan will be calculated using ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,
9,"[100.62300109863281, 705.6889953613281, 108.79301452636719, 722.6390075683594]",0.0,//Document/Table/TR[2]/TD[2]/L/LI/Lbl,,,,,,,,,,,,,,,,,False,,• ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,
